Size,BubbleSort,InsertionSort,HeapSort,MergeSort,QuickSort,SequentialSearch,BinarySearch
4484,57284,11228,790,578,459,7,0
1962,10416,2154,306,227,185,3,0
830,1625,394,115,89,66,1,0
4391,54712,10747,779,574,434,6,0
4048,46733,9116,710,515,401,5,0
4681,62225,12156,830,603,459,7,0
1871,9295,1960,290,219,167,3,0
2382,15736,3152,385,285,220,3,0
2002,10799,2241,313,231,180,3,0
3946,44212,8653,675,495,385,4,0
3418,33133,6507,588,431,328,4,0
1447,5435,1185,223,180,126,2,0
3589,36468,7198,614,451,361,4,0
1836,8902,1880,288,220,166,3,0
4660,61621,12136,821,617,479,6,0
1287,4184,943,227,143,109,2,0
344,268,73,41,32,24,0,0
1534,6111,1325,240,177,144,2,0
2907,23858,4752,481,352,276,4,0
3153,28162,5556,528,382,308,4,0
4687,62287,12230,840,609,478,4,0
1985,10702,2218,314,235,186,3,0
2173,12932,2632,358,268,203,3,0
1155,3280,768,167,125,96,1,0
1212,3605,812,177,148,103,1,0
807,1505,377,119,84,64,1,0
508,571,150,65,50,37,1,0
590,778,199,77,59,45,1,0
3441,33601,6699,586,432,349,5,0
512,577,152,72,49,38,1,0
3699,39046,7619,631,466,382,4,0
3483,34379,6776,603,437,337,5,0
892,1855,453,124,94,74,1,0
4320,52966,10406,753,554,430,5,0
2281,14367,2945,381,276,230,3,0
902,1957,463,126,99,73,1,0
2521,17622,3563,415,299,246,3,0
4146,49735,9742,744,518,411,7,0
2113,12145,2494,340,249,202,2,0
4884,67923,13250,877,634,505,7,0
982,2311,536,139,108,80,1,0
2394,15858,3219,390,286,235,3,0
627,896,220,83,63,48,1,0
4989,70401,14012,896,648,503,6,0
3942,44251,8787,683,496,399,5,0
2278,14263,2880,371,272,212,3,0
1700,7646,1637,266,195,153,2,0
2585,18788,3782,427,308,243,4,0
159,60,15,16,13,9,0,0
631,915,233,83,63,51,1,0
2147,12643,2597,342,257,204,3,0
1030,2530,588,153,115,90,2,0
4303,52723,10334,768,549,437,5,0
787,1426,345,110,86,61,1,0
104,26,7,10,8,6,0,0
2021,11018,2290,320,246,183,2,0
3856,42262,8284,671,482,378,5,0
4293,52137,10194,760,557,427,5,0
498,553,139,63,49,42,1,0
4014,45732,8972,690,498,412,4,0
4592,60096,11902,812,584,466,7,0
1515,5883,1289,234,170,132,2,0
2836,22606,4482,469,345,274,3,0
4859,67126,13233,865,628,510,5,0
43,5,1,3,3,2,0,0
548,682,168,77,55,41,1,0
1336,4735,997,198,147,124,2,0
2446,16664,3373,406,290,235,3,0
3820,41613,8222,662,482,377,5,0
701,1133,280,94,72,55,1,0
4599,60020,11796,810,588,461,6,0
1867,9377,1951,295,220,174,3,0
1522,5965,1298,235,169,132,2,0
4694,62525,12363,839,612,471,5,0
4474,56824,11104,791,581,445,5,0
3572,36288,7096,625,453,352,5,0
2409,16188,3300,388,289,222,3,0
2428,16373,3359,396,300,224,4,0
4496,57563,11331,816,585,459,5,0
3465,33969,6642,590,433,340,5,0
390,339,88,50,36,28,0,0
1534,6098,1320,244,170,136,2,0
894,1909,455,126,97,75,1,0
2119,12332,2516,338,250,197,3,0
2662,19838,3927,437,319,257,3,0
3543,35683,6993,614,440,342,4,0
4025,46248,9026,695,517,395,7,0
2965,24996,4876,499,363,282,4,0
4883,67643,13269,879,622,487,6,0
1406,5014,1118,216,163,123,2,0
4146,49040,9606,715,530,415,6,0
1298,4238,960,191,143,110,2,0
3238,29787,5883,543,408,318,4,0
2438,16492,3324,402,304,226,3,0
1537,6175,1315,234,171,135,2,0
3965,44520,8745,682,497,397,5,0
3510,35117,6872,624,437,340,5,0
2123,12411,2561,342,254,192,3,0
4320,53557,10410,756,558,434,7,0
2353,15275,3101,383,278,218,4,0
3506,34863,6827,604,436,339,5,0
3601,36952,7240,621,469,357,6,0
1721,7776,1656,266,204,152,3,0
63,10,2,5,4,3,0,0
1253,3899,887,184,137,109,2,0
655,976,246,88,66,50,1,0
4732,63211,12484,832,609,474,4,0
3395,32603,6459,581,439,328,5,0
1650,7153,1515,263,189,146,2,0
3782,40611,7952,661,479,378,3,0
2067,11572,2380,344,250,206,3,0
3319,31311,6125,561,409,323,4,0
3758,40042,7828,638,471,369,5,0
2853,22942,4537,476,352,272,4,0
4186,49850,9747,738,536,441,5,0
3116,27546,5411,529,382,296,4,0
2408,16097,3223,394,284,232,4,0
1598,6629,1451,245,179,141,2,0
2024,11100,2301,319,238,182,4,0
1686,7493,1604,265,193,149,2,0
1473,5550,1226,221,171,136,2,0
3692,38719,7605,636,473,361,4,0
1486,5651,1248,223,165,129,2,0
193,83,22,22,17,13,0,0
1330,4522,1003,197,152,114,2,0
3711,39114,7650,644,472,371,4,0
3153,28244,5548,532,382,306,5,0
1469,5528,1215,224,168,131,2,0
4241,50942,9999,753,541,427,5,0
4664,61780,12124,828,606,474,5,0
686,1049,274,98,70,60,1,0
684,1055,274,92,70,54,1,0
3730,39682,7841,643,471,378,4,0
1004,2409,567,143,107,82,1,0
2183,13001,2662,351,262,203,3,0
2336,15117,3034,384,278,219,4,0
3613,37085,7283,608,464,350,4,0
66,11,3,5,5,3,0,0
2509,17588,3524,404,309,231,4,0
381,318,84,46,41,27,0,0
731,1216,309,99,76,58,1,0
2106,12060,2509,340,249,189,3,0
4537,58651,11451,800,603,453,7,0
4899,67959,13466,875,653,506,6,0
4344,53832,10593,769,562,442,6,0
1613,6853,1503,250,190,142,2,0
1153,3265,739,169,133,96,2,0
3581,36517,7158,612,449,352,5,0
4513,57986,11307,781,574,457,6,0
3992,45467,8977,687,512,397,6,0
677,1023,259,91,72,52,1,0
4653,61560,12088,825,596,458,5,0
778,1378,339,106,81,61,1,0
3536,35629,7011,601,447,343,4,0
226,112,30,25,20,14,0,0
757,1290,326,103,77,62,1,0
2370,15580,3152,379,286,225,4,0
3095,27190,5377,523,380,305,3,0
4449,56525,11033,788,563,449,6,0
2215,13371,2751,351,263,202,3,0
338,252,70,40,33,24,0,0
4593,60130,11764,814,589,456,7,0
